YYYY MM DD hh mm WS_mean_10_mean Rad_mean 
    Height 10 0 
    Units m/s W/m2 
2011 02 13 03 35 2.1767E+00 -4.8580E+00 
2011 02 13 03 45 2.1767E+00 -4.8580E+00 
2011 02 13 03 55 1.6255E+00 -4.8580E+00 
2011 02 13 04 05 1.7042E+00 -4.8580E+00 
2011 02 13 04 15 1.7042E+00 -4.8580E+00 
2011 02 13 04 25 1.1530E+00 -4.8580E+00 
2011 02 13 04 35 1.0742E+00 -4.8580E+00 
2011 02 13 04 45 1.2317E+00 -4.8580E+00 
2011 02 13 04 55 1.3104E+00 -4.8580E+00 
2011 02 13 05 05 1.3104E+00 6.4000E-02 
2011 02 13 05 15 1.7830E+00 6.4000E-02 
2011 02 13 05 25 1.5467E+00 -4.8580E+00 
2011 02 13 05 35 1.3104E+00 -4.8580E+00 
2011 02 13 05 45 2.3342E+00 -4.8580E+00 
2011 02 13 05 55 2.5705E+00 -4.8580E+00 
2011 02 13 06 05 2.7280E+00 -4.8580E+00 
2011 02 13 06 15 2.4917E+00 -4.8580E+00 
2011 02 13 06 25 2.1767E+00 -4.8580E+00 
2011 02 13 06 35 2.2555E+00 -4.8580E+00 
2011 02 13 06 45 1.7830E+00 -4.8580E+00 
2011 02 13 06 55 1.9405E+00 -4.8580E+00 
2011 02 13 07 05 2.2555E+00 -4.8580E+00 
2011 02 13 07 15 1.7042E+00 -4.8580E+00 
2011 02 13 07 25 2.0192E+00 -4.8580E+00 
2011 02 13 07 35 1.8617E+00 -4.8580E+00 
2011 02 13 07 45 7.5920E-01 -4.8580E+00 
2011 02 13 07 55 8.3800E-01 -4.8580E+00 
2011 02 13 08 05 9.9550E-01 6.4000E-02 
2011 02 13 08 15 2.0980E+00 -4.8580E+00 
2011 02 13 08 25 2.8067E+00 -4.8580E+00 
2011 02 13 08 35 3.3580E+00 -4.8580E+00 
2011 02 13 08 45 3.9092E+00 -4.8580E+00 
2011 02 13 08 55 4.0667E+00 -4.8580E+00 
2011 02 13 09 05 4.1455E+00 6.4000E-02 
2011 02 13 09 15 3.9092E+00 4.9860E+00 
2011 02 13 09 25 4.2242E+00 9.9080E+00 
2011 02 13 09 35 3.6730E+00 3.9440E+01 
2011 02 13 09 45 2.0980E+00 2.4674E+01 
